baseline	winning_ticket	random_mask	cifar10	cifar100	fahion_mnist
84.75	85.125	86.2939189189	86.3738738739	87.1058558559	85.8108108108
84.75	88.1756756757	87.8941441441	87.1058558559	86.3738738739	85.5292792793
84.75	87.9504504505	88.3445945946	87.6126126126	86.1486486486	86.4864864865
84.75	88.8513513514	88.231981982	87.1621621622	85.8108108108	86.6554054054
84.75	88.2882882883	89.1891891892	86.5990990991	86.8806306306	85.7545045045
84.75	88.7387387387	89.3018018018	87.2747747748	86.5427927928	86.8243243243
84.75	88.795045045	88.795045045	86.036036036	85.9234234234	85.9797297297
84.75	89.8085585586	88.6824324324	86.4301801802	86.036036036	86.204954955
84.75	89.1891891892	88.963963964	87.8378378378	86.5427927928	85.472972973
84.75	88.963963964	88.1756756757	87.1621621622	86.0923423423	85.5292792793
84.75	89.6396396396	88.9076576577	88.2882882883	87.1621621622	86.036036036
84.75	89.7522522523	88.6824324324	88.0630630631	86.5990990991	85.8108108108
84.75	89.6959459459	89.2454954955	87.3310810811	86.8806306306	85.8108108108
84.75	90.0337837838	88.963963964	88.1193693694	86.9932432432	86.3175675676
84.75	90.4279279279	89.3581081081	87.9504504505	86.8243243243	86.036036036
84.75	90.4842342342	89.2454954955	88.231981982	86.2612612613	86.5427927928
84.75	89.4707207207	88.9076576577	87.5563063063	85.9234234234	85.8671171171
84.75	89.3581081081	88.963963964	88.9076576577	87.6126126126	86.4864864865
84.75	89.3018018018	87.1916670378	88.0067567568	86.5990990991	86.204954955
84.75	89.6959459459	86.3605859568	88.6824324324	86.204954955	86.4864864865
84.75	89.527027027	87.1891929009	87.7252252252	86.6554054054	86.5990990991
84.75	88.8513513514	85.8105859568	87.9504504505	85.1351351351	85.5292792793
84.75	90.0900900901	84.5921174883	88.2882882883	86.3738738739	85.0788288288
84.75	88.6261261261	81.8042796505	87.8378378378	85.6418918919	85.5292792793
84.75	88.0067567568	83.1353607315	86.5990990991	86.2612612613	85.3603603604
84.75	86.768018018	79.0159913622	86.9369369369	85.472972973	85.0225225225
84.75	86.204954955	80.2344598306	85.9234234234	84.9099099099	84.4594594595
84.75	85.0225225225	72.1812292	84.9662162162	84.1779279279	84.1779279279
84.75	85.1351351351	72.1812292	84.4594594595	83.5022522523	83.7837837838
84.75	84.9099099099	68.1812292	84.9099099099	83.5585585586	83.277027027
84.75	84.3468468468	77.9731985694	82.3198198198	81.8130630631	83.6711711712
